second,x_left,y_left,x_right,y_right,obj_score,label_score,label,label_name,foot_x,foot_y
0.0,310.6058,2.8616853,346.94882,111.71295,0.96823823,0.9992124,0.0,person,328.7773,111.71295
1.0,305.6651,35.54024,355.5478,167.11784,0.96298647,0.99680674,0.0,person,330.60645,167.11784
2.0,288.30023,78.77709,381.86896,262.34665,0.97699946,0.9995086,0.0,person,335.0846,262.34665
3.0,287.4977,76.70399,388.2628,266.69846,0.7717726,0.9951905,0.0,person,337.88025,266.69846
4.0,278.30142,36.444088,345.7112,235.09515,0.8901549,0.9994288,0.0,person,312.00632,235.09515
4.0,344.97565,0.6765411,393.7701,63.19237,0.5522979,0.99616194,0.0,person,369.37286,63.19237
5.0,271.45908,19.130613,349.9565,187.28995,0.9896058,0.99991024,0.0,person,310.7078,187.28995
5.0,503.24982,105.94842,611.0777,311.63596,0.82088536,0.9978961,0.0,person,557.16376,311.63596
6.0,296.97458,19.338238,359.59235,177.95955,0.9723231,0.9998776,0.0,person,328.28345,177.95955
7.0,254.73227,57.910576,352.2556,311.78662,0.9918429,0.9957749,0.0,person,303.49396,311.78662
8.0,318.33984,189.32545,513.6783,355.6338,0.95749074,0.9942502,0.0,person,416.00906,355.6338
8.0,263.62784,15.443851,324.64542,189.97032,0.7926402,0.9987571,0.0,person,294.13663,189.97032
9.0,264.3249,20.864746,325.87238,202.06488,0.9858884,0.9999292,0.0,person,295.09863,202.06488
9.0,320.15845,203.14905,541.87476,361.94757,0.9852496,0.998784,0.0,person,431.0166,361.94757
10.0,263.34796,35.556934,324.57672,224.12733,0.9927048,0.9998491,0.0,person,293.96234,224.12733
10.0,319.61935,207.96332,548.3602,361.4303,0.92640334,0.9961772,0.0,person,433.9898,361.4303
11.0,307.63736,202.93167,534.0586,360.74896,0.9619968,0.9969297,0.0,person,420.84796,360.74896
11.0,259.17813,34.198708,361.12756,233.05022,0.9580312,0.99855703,0.0,person,310.15283,233.05022
12.0,277.6015,65.32157,383.0105,247.67128,0.96849436,0.99824774,0.0,person,330.306,247.67128
12.0,316.66965,205.6696,523.0036,361.11945,0.91310275,0.99288905,0.0,person,419.8366,361.11945
13.0,270.90454,65.04052,359.91974,283.89667,0.9832318,0.9981445,0.0,person,315.41214,283.89667
13.0,320.30856,199.2638,535.38763,367.78232,0.9749244,0.99499476,0.0,person,427.84808,367.78232
14.0,330.55676,188.40408,540.82574,363.6838,0.9971398,0.99905795,0.0,person,435.69125,363.6838
14.0,262.27588,86.73347,360.64758,295.66092,0.97733635,0.9971808,0.0,person,311.46173,295.66092
14.0,512.1452,81.285515,617.4235,254.34494,0.81644934,0.99594057,0.0,person,564.78436,254.34494
15.0,333.76276,195.99083,548.79486,363.7516,0.9951316,0.99904007,0.0,person,441.2788,363.7516
15.0,258.90637,74.98629,333.4334,296.23868,0.9775624,0.99894446,0.0,person,296.1699,296.23868
15.0,443.66052,9.809392,506.98758,178.42644,0.9059508,0.99974245,0.0,person,475.32404,178.42644
16.0,327.00873,190.65256,545.2954,361.8733,0.99318093,0.9988562,0.0,person,436.15207,361.8733
16.0,302.46478,86.53767,378.65613,296.00223,0.8751927,0.99841774,0.0,person,340.56046,296.00223
17.0,341.5205,186.6331,540.6354,360.61273,0.9940614,0.9990639,0.0,person,441.07794,360.61273
17.0,299.74014,109.55458,392.66446,308.5796,0.9886983,0.99980265,0.0,person,346.2023,308.5796
17.0,309.14902,4.7076845,345.26413,111.92395,0.95939827,0.9997496,0.0,person,327.20657,111.92395
18.0,339.97665,194.38629,542.406,365.80103,0.99498487,0.9798986,0.0,person,441.19135,365.80103
18.0,311.35858,69.89269,401.38275,303.18454,0.98961204,0.9998167,0.0,person,356.37067,303.18454
18.0,275.25302,27.587563,341.85287,173.81055,0.55923516,0.99612844,0.0,person,308.55295,173.81055
19.0,340.26398,189.63559,544.20447,363.9832,0.9974342,0.9987029,0.0,person,442.23422,363.9832
19.0,259.9065,30.743437,333.14313,236.91234,0.9818641,0.9985077,0.0,person,296.5248,236.91234
19.0,321.53232,113.46378,426.3401,302.86664,0.7071946,0.96548915,0.0,person,373.93622,302.86664
20.0,342.62396,190.74794,542.4808,360.8171,0.99158996,0.9977297,0.0,person,442.55237,360.8171
20.0,316.50464,119.475624,421.9173,296.06488,0.7851898,0.9099729,0.0,person,369.21097,296.06488
20.0,265.801,20.980686,338.96207,220.94489,0.6786655,0.9889354,0.0,person,302.38153,220.94489
21.0,351.53265,190.68594,561.955,366.21848,0.9913379,0.9967894,0.0,person,456.74384,366.21848
21.0,315.57208,111.05498,406.69507,306.33603,0.86423767,0.9979274,0.0,person,361.13358,306.33603
21.0,252.05582,48.081665,337.96573,221.0537,0.8331749,0.9983505,0.0,person,295.01077,221.0537
22.0,347.38824,190.02985,565.8358,364.59985,0.99452823,0.99776673,0.0,person,456.61203,364.59985
22.0,293.63898,105.9423,390.21765,341.06552,0.951764,0.9986934,0.0,person,341.9283,341.06552
22.0,259.43243,31.93033,337.07538,238.65544,0.8685044,0.99953926,0.0,person,298.2539,238.65544
23.0,329.71338,190.05692,535.33954,361.1642,0.9954796,0.9971861,0.0,person,432.52646,361.1642
23.0,269.16852,114.61412,391.09564,333.73822,0.9250271,0.99310356,0.0,person,330.13208,333.73822
23.0,279.0739,40.9078,347.89557,113.90717,0.62607616,0.9939898,0.0,person,313.48474,113.90717
24.0,300.92676,201.03133,491.8081,364.2422,0.9056031,0.9959714,0.0,person,396.36743,364.2422
24.0,246.95859,22.87368,318.4558,250.7821,0.5838572,0.9977558,0.0,person,282.7072,250.7821
25.0,263.31604,195.68166,414.12598,367.53165,0.9741677,0.9997845,0.0,person,338.721,367.53165
25.0,275.42746,9.780051,373.98483,119.40268,0.81125766,0.9995122,0.0,person,324.70615,119.40268
25.0,260.38367,105.92191,347.74457,272.3232,0.6755744,0.9956392,0.0,person,304.06412,272.3232
26.0,251.63928,108.30344,346.8964,273.45038,0.9613763,0.99930966,0.0,person,299.26782,273.45038
26.0,202.70773,257.7176,378.93192,355.24063,0.90324956,0.9827424,0.0,person,290.81982,355.24063
26.0,315.54196,266.8614,411.99255,357.06305,0.58538705,0.991045,0.0,person,363.76727,357.06305
27.0,227.54234,110.77232,335.89532,342.10028,0.9715381,0.99953914,0.0,person,281.71884,342.10028
28.0,219.47389,129.84747,310.22595,285.8093,0.9882703,0.9999205,0.0,person,264.8499,285.8093
28.0,203.52725,244.589,407.0362,355.02155,0.9669262,0.99687165,0.0,person,305.28174,355.02155
29.0,205.79416,111.44422,293.1542,341.54218,0.96019036,0.9992962,0.0,person,249.47418,341.54218
29.0,248.26443,156.21388,431.67392,361.28992,0.87532455,0.9977648,0.0,person,339.96918,361.28992
29.0,301.90872,41.161137,378.6934,224.2318,0.5194836,0.98884845,0.0,person,340.30106,224.2318
30.0,260.4394,197.2666,415.74097,366.25143,0.9951891,0.9999528,0.0,person,338.09018,366.25143
30.0,204.80426,138.36642,291.82443,344.1621,0.9848145,0.9995704,0.0,person,248.31435,344.1621
30.0,279.47314,17.228159,352.35352,188.6935,0.9798723,0.99941015,0.0,person,315.91333,188.6935
31.0,285.34036,3.652559,348.83438,161.1034,0.9981244,0.99997115,0.0,person,317.08737,161.1034
31.0,252.66757,223.82176,418.20514,363.23453,0.9964328,0.9999429,0.0,person,335.43634,363.23453
31.0,205.07658,118.36042,294.35223,332.85992,0.99203414,0.9990564,0.0,person,249.71442,332.85992
32.0,206.24535,109.137436,295.5653,338.27957,0.9900581,0.9991547,0.0,person,250.90533,338.27957
32.0,247.44421,244.80446,443.4632,357.6184,0.97653025,0.97880757,0.0,person,345.4537,357.6184
32.0,280.36014,-3.0125625,348.84506,143.04263,0.97388554,0.9999293,0.0,person,314.6026,143.04263
33.0,257.57962,193.04442,406.1008,364.8438,0.988698,0.99984515,0.0,person,331.8402,364.8438
33.0,208.336,117.292145,290.8948,333.87756,0.9555935,0.99932206,0.0,person,249.6154,333.87756
33.0,281.34537,-4.7198296,349.596,153.45253,0.95149106,0.9999362,0.0,person,315.4707,153.45253
34.0,211.36026,102.96791,285.08188,341.32346,0.98655605,0.9994492,0.0,person,248.22107,341.32346
34.0,266.75143,155.67535,394.62845,371.1976,0.9748649,0.999907,0.0,person,330.68994,371.1976
34.0,286.15823,4.8856072,335.59525,146.99976,0.8806088,0.99808985,0.0,person,310.87674,146.99976
35.0,264.4605,178.1168,411.59827,370.40878,0.98688126,0.99980634,0.0,person,338.0294,370.40878
35.0,278.59247,11.897567,353.46667,180.04034,0.97204167,0.9998524,0.0,person,316.02957,180.04034
35.0,209.79204,110.14546,293.16254,337.39453,0.9200294,0.99929976,0.0,person,251.4773,337.39453
36.0,207.23306,106.75528,296.63242,341.70636,0.9910487,0.9980007,0.0,person,251.93274,341.70636
36.0,274.71838,25.204798,348.73743,208.91618,0.9885821,0.9997279,0.0,person,311.7279,208.91618
36.0,308.30368,204.0038,497.6101,359.7653,0.9701017,0.998944,0.0,person,402.9569,359.7653
36.0,473.73077,149.91156,604.1171,296.62137,0.69705415,0.9985815,0.0,person,538.92395,296.62137
37.0,270.62518,189.85168,419.90503,360.8886,0.99200773,0.99888414,0.0,person,345.2651,360.8886
37.0,256.01678,30.497412,333.1458,208.16151,0.92844117,0.9986426,0.0,person,294.5813,208.16151
37.0,198.9285,108.96252,298.3328,340.53986,0.87202805,0.9953484,0.0,person,248.63065,340.53986
38.0,299.1689,187.91878,419.52692,365.14273,0.9692759,0.99902046,0.0,person,359.3479,365.14273
38.0,217.14883,132.09758,309.2148,355.78772,0.8273473,0.9989592,0.0,person,263.18182,355.78772
39.0,215.40176,160.88576,309.04538,364.93494,0.9842451,0.9994497,0.0,person,262.22357,364.93494
39.0,327.02228,159.65904,455.67902,366.0386,0.9504101,0.99887854,0.0,person,391.35065,366.0386
39.0,249.79478,65.16939,344.18604,241.83736,0.59662133,0.99723476,0.0,person,296.99042,241.83736
40.0,269.44775,205.91142,417.93933,359.78458,0.9974732,0.998691,0.0,person,343.69354,359.78458
40.0,195.10217,163.84258,291.02957,359.62256,0.982262,0.9985454,0.0,person,243.06587,359.62256
40.0,259.37817,47.110264,347.91504,224.10706,0.82383454,0.97993416,0.0,person,303.6466,224.10706
41.0,268.72787,192.25735,407.30862,360.9677,0.99194825,0.99933016,0.0,person,338.01825,360.9677
41.0,186.04047,190.67232,278.81046,361.55847,0.98055446,0.9996086,0.0,person,232.42546,361.55847
41.0,230.90042,79.18925,331.30743,258.2032,0.8425689,0.9985672,0.0,person,281.10394,258.2032
42.0,177.86389,192.54695,293.4126,364.47955,0.99175245,0.99972755,0.0,person,235.63824,364.47955
42.0,278.8977,164.41916,466.8847,360.91397,0.9684181,0.99862754,0.0,person,372.8912,360.91397
42.0,256.5737,118.187454,331.09464,253.64621,0.8624883,0.99739325,0.0,person,293.83417,253.64621
42.0,464.5026,151.684,587.85535,338.79144,0.5221138,0.94165653,0.0,person,526.17896,338.79144
43.0,144.54218,230.45895,267.6429,362.2696,0.90503705,0.99904066,0.0,person,206.09254,362.2696
43.0,269.6592,227.06721,413.0107,361.9373,0.70125794,0.87081313,0.0,person,341.33496,361.9373
43.0,167.66995,79.466484,318.3914,264.1658,0.5007869,0.9899357,0.0,person,243.03067,264.1658
44.0,146.16078,233.81361,265.8305,361.97943,0.9598267,0.998019,0.0,person,205.99564,361.97943
44.0,247.40509,210.53624,434.0495,357.81943,0.8556949,0.9963038,0.0,person,340.7273,357.81943
44.0,507.55725,111.47851,596.4874,339.81122,0.5433013,0.98450816,0.0,person,552.02234,339.81122
45.0,282.11514,202.45456,434.1185,361.36935,0.9572228,0.99954104,0.0,person,358.11682,361.36935
45.0,121.69911,259.77777,239.91046,356.4771,0.9348784,0.99975306,0.0,person,180.80478,356.4771
45.0,212.48085,89.71819,329.87524,327.9452,0.69757634,0.9996953,0.0,person,271.17804,327.9452
46.0,120.78342,243.67825,242.73389,361.83035,0.9402145,0.9985837,0.0,person,181.75865,361.83035
46.0,247.4407,76.032715,353.9821,374.3103,0.6398887,0.9980703,0.0,person,300.7114,374.3103
47.0,263.54724,201.63213,419.10468,359.6799,0.99859697,0.99766845,0.0,person,341.32596,359.6799
47.0,121.84346,246.38246,239.88771,358.68472,0.93721545,0.9970516,0.0,person,180.86559,358.68472
47.0,244.74435,82.335045,374.88593,226.68628,0.8718416,0.995413,0.0,person,309.81512,226.68628
48.0,251.53389,225.83998,413.60736,361.19452,0.9744621,0.9997936,0.0,person,332.57062,361.19452
48.0,121.35091,265.74094,239.02997,356.69873,0.8987188,0.99852234,0.0,person,180.19043,356.69873
49.0,275.90344,169.0741,408.5088,360.6688,0.9919733,0.99984944,0.0,person,342.20612,360.6688
49.0,259.11023,29.578663,337.72314,244.6302,0.9344819,0.9981956,0.0,person,298.4167,244.6302
49.0,143.23802,267.00342,256.5398,355.81805,0.87942874,0.99921083,0.0,person,199.88892,355.81805
50.0,280.06937,173.09758,408.56177,358.15128,0.99264014,0.99958843,0.0,person,344.31555,358.15128
50.0,132.90286,247.88606,264.43472,358.6235,0.828653,0.9960674,0.0,person,198.6688,358.6235
51.0,273.04837,209.49892,419.10342,355.19778,0.9679817,0.9994892,0.0,person,346.0759,355.19778
51.0,122.80228,272.55862,238.14706,359.36386,0.8942015,0.9987961,0.0,person,180.47467,359.36386
52.0,120.38309,272.62454,237.66602,358.25348,0.9051353,0.99724233,0.0,person,179.02455,358.25348
52.0,251.99765,203.0291,418.44458,360.70724,0.85711205,0.99916744,0.0,person,335.22113,360.70724
53.0,247.11577,195.68498,440.9251,357.39172,0.99313617,0.99899405,0.0,person,344.02045,357.39172
53.0,122.144714,268.08188,234.37888,362.12582,0.5136874,0.9936451,0.0,person,178.2618,362.12582
54.0,237.34296,196.95074,443.81995,363.06012,0.947852,0.99622464,0.0,person,340.58145,363.06012
54.0,217.29324,132.1877,332.8583,247.69052,0.74687153,0.97288215,0.0,person,275.07578,247.69052
54.0,114.21597,280.01016,231.1217,361.06903,0.7098423,0.9977456,0.0,person,172.66884,361.06903
55.0,236.50049,205.66254,437.31958,360.00473,0.927694,0.9930519,0.0,person,336.91003,360.00473
55.0,112.71338,273.07214,239.37698,358.0183,0.89482564,0.99842703,0.0,person,176.04518,358.0183
56.0,243.22855,195.88898,443.49258,361.01114,0.9838648,0.99742115,0.0,person,343.36057,361.01114
56.0,127.10768,302.56677,232.89172,359.63354,0.640375,0.9957871,0.0,person,179.9997,359.63354
57.0,235.54279,198.25023,444.86176,364.113,0.9521086,0.99726844,0.0,person,340.20227,364.113
57.0,219.95575,126.44675,342.40668,245.70982,0.88685584,0.99174,0.0,person,281.1812,245.70982
58.0,239.14832,198.26213,442.41986,360.47095,0.980845,0.99926513,0.0,person,340.7841,360.47095
58.0,118.71054,291.1902,239.58841,360.63943,0.63876855,0.9970753,0.0,person,179.14948,360.63943
59.0,245.12042,195.13937,437.46643,363.50485,0.9941888,0.98715496,0.0,person,341.29343,363.50485
59.0,119.54996,281.41617,229.54636,361.88312,0.58993185,0.97414804,0.0,person,174.54816,361.88312
60.0,240.90878,196.46565,440.01154,363.64893,0.9977457,0.9986498,0.0,person,340.46014,363.64893
60.0,269.59027,17.14849,347.5744,221.38168,0.98799765,0.99977964,0.0,person,308.58234,221.38168
60.0,113.20433,278.39264,228.69826,361.1219,0.8241825,0.99717486,0.0,person,170.9513,361.1219
61.0,242.81085,202.9316,442.42194,361.11426,0.98599154,0.9986511,0.0,person,342.6164,361.11426
61.0,307.09912,0.36935517,359.22308,131.7334,0.9855414,0.9975746,0.0,person,333.1611,131.7334
62.0,249.18839,228.00282,440.8221,356.23468,0.9941468,0.9972926,0.0,person,345.00525,356.23468
62.0,118.33998,281.17053,226.28171,360.91934,0.7018318,0.9933461,0.0,person,172.31085,360.91934
63.0,259.66837,215.70905,420.4577,364.76108,0.9867836,0.9997365,0.0,person,340.06305,364.76108
63.0,117.508224,280.5428,224.56769,361.04916,0.82624495,0.99666256,0.0,person,171.03796,361.04916
64.0,241.3202,203.81042,438.51154,366.9715,0.9948697,0.9988865,0.0,person,339.91586,366.9715
65.0,236.15945,201.55882,438.0936,365.324,0.99794453,0.9990434,0.0,person,337.12653,365.324
65.0,89.66121,295.53693,215.49908,358.4029,0.5895397,0.99705577,0.0,person,152.58014,358.4029
66.0,237.51169,205.39745,436.8072,365.2264,0.9946996,0.9961467,0.0,person,337.15942,365.2264
67.0,238.05334,206.59848,439.10406,363.83087,0.9923707,0.9985233,0.0,person,338.5787,363.83087
67.0,92.20572,295.99652,212.03961,358.1104,0.62235737,0.9970085,0.0,person,152.12267,358.1104
68.0,240.57394,204.45178,439.54584,363.9231,0.9915827,0.99782723,0.0,person,340.05988,363.9231
68.0,108.78726,283.3833,226.75464,361.4222,0.7746253,0.9973111,0.0,person,167.77095,361.4222
69.0,236.5633,197.74979,435.25006,364.29196,0.9982699,0.99888116,0.0,person,335.90668,364.29196
69.0,94.473206,279.61078,213.29263,360.26736,0.91668385,0.99839526,0.0,person,153.88292,360.26736
70.0,239.56924,197.42798,435.28113,364.30444,0.9972161,0.99859816,0.0,person,337.42517,364.30444
70.0,108.20934,280.86102,222.92477,362.1618,0.6422522,0.9943771,0.0,person,165.56706,362.1618
71.0,235.73868,198.51361,434.81796,363.5419,0.9988218,0.9982686,0.0,person,335.27832,363.5419
71.0,93.839836,282.38068,213.83252,361.25235,0.80626696,0.99461854,0.0,person,153.83618,361.25235
72.0,235.33524,200.47726,434.92548,363.77097,0.997957,0.9969926,0.0,person,335.13037,363.77097
72.0,94.94545,283.6104,212.83688,361.07233,0.8496172,0.99557304,0.0,person,153.89117,361.07233
